State,County,City,Name,RegionID,lon,lat
CA,Los Angeles,Claremont,Village,248165,-117.72165125168404,34.095695790779125
CA,Los Angeles,Hawthorne,Ramona,224568,-118.35701461654159,33.909255416354156
CA,Los Angeles,El Monte,Mountain View,259606,-118.02256821928061,34.05653011744239
CA,Los Angeles,Claremont,Vista,259818,-117.72356919649,34.087801027999554
CA,Los Angeles,Los Angeles,Central City East,268057,-118.22970816037916,34.041479184010264
CA,Los Angeles,Santa Monica,Mid-City,268293,-118.4748780874736,34.0306225571306
CA,Los Angeles,Claremont,Mountain View,260611,-117.73222566724066,34.10221376924278
CA,Los Angeles,Culver City,Jefferson,262098,-118.38990682348802,34.01018256564878
CA,Los Angeles,Burbank,Media,265889,-118.3381589626534,34.15253547752015
CA,Los Angeles,Claremont,Sumner,267436,-117.74066612547061,34.11436377272519
CA,Los Angeles,Los Angeles,Atwater Village,268010,-118.26512162744864,34.12628261600153
CA,Los Angeles,Los Angeles,Arleta,268002,-118.43082463431452,34.23738125470506
CA,Los Angeles,Los Angeles,Cypress Park,268103,-118.22741148993853,34.09216926146296
CA,Los Angeles,Los Angeles,Elysian Park,268144,-118.23890315893843,34.078670486086146
CA,Los Angeles,Los Angeles,Crenshaw,268097,-118.35399276212875,34.013209379098555
CA,Los Angeles,Los Angeles,Downtown,268118,-118.25186998893041,34.0418119952413
CA,Los Angeles,Los Angeles,Echo Park,268134,-118.25249372415202,34.080874133294806
CA,Los Angeles,Los Angeles,Koreatown,268236,-118.29744353614781,34.0642380748865
CA,Los Angeles,Los Angeles,Lakeview Terrace,268249,-118.36380791886803,34.280575223227
CA,Los Angeles,Claremont,Meadowood,272170,-117.7093913303881,34.13066725513263
CA,Los Angeles,Long Beach,Alamitos Heights,272737,-118.12822331758409,33.772948061033176
CA,Los Angeles,Long Beach,Bixby Knolls,272969,-118.18218691570246,33.83257454870147
CA,Los Angeles,Los Angeles,Silver Lake,268473,-118.26790086475658,34.09278239574568
CA,Los Angeles,Glendale,City Center,273257,-118.25250541472897,34.1503067477135
CA,Los Angeles,Los Angeles,Pico-Union,268404,-118.27755494718355,34.047476320225414
CA,Los Angeles,Pasadena,East Central,273539,-118.10402108169409,34.164501342875575
CA,Los Angeles,San Marino,East Village,273572,-118.09791915972727,34.119858758442234
